Date,Country_Region,Province_State,Lat,Long,Confirmed,Recovered,Deaths
4/1/2020,Afghanistan,,33,65,237,5,4
4/1/2020,Albania,,41.1533,20.1683,259,67,15
4/1/2020,Algeria,,28.0339,1.6596,847,61,58
4/1/2020,Andorra,,42.5063,1.5218,390,10,14
4/1/2020,Angola,,-11.2027,17.8739,8,1,2
4/1/2020,Antigua and Barbuda,,17.0608,-61.7964,7,0,0
4/1/2020,Argentina,,-38.4161,-63.6167,1054,248,28
4/1/2020,Armenia,,40.0691,45.0382,571,31,4
4/1/2020,Australia,Australian Capital Territory,-35.4735,149.0124,84,8,1
4/1/2020,Australia,New South Wales,-33.8688,151.2093,2182,4,9
4/1/2020,Australia,Northern Territory,-12.4634,130.8456,19,0,0
4/1/2020,Australia,Queensland,-28.0167,153.4,781,8,2
4/1/2020,Australia,South Australia,-34.9285,138.6007,367,6,0
4/1/2020,Australia,Tasmania,-41.4545,145.9707,69,5,2
4/1/2020,Australia,Victoria,-37.8136,144.9631,968,343,4
4/1/2020,Australia,Western Australia,-31.9505,115.8605,392,48,2
4/1/2020,Austria,,47.5162,14.5501,10711,1436,146
4/1/2020,Azerbaijan,,40.1431,47.5769,359,26,5
4/1/2020,Bahamas,,25.0343,-77.3963,21,1,1
4/1/2020,Bahrain,,26.0275,50.55,569,337,4
4/1/2020,Bangladesh,,23.685,90.3563,54,25,6
4/1/2020,Barbados,,13.1939,-59.5432,34,0,0
4/1/2020,Belarus,,53.7098,27.9534,163,53,2
4/1/2020,Belgium,,50.8333,4,13964,2132,828
4/1/2020,Belize,,13.1939,-59.5432,3,0,0
4/1/2020,Benin,,9.3077,2.3158,13,1,0
4/1/2020,Bhutan,,27.5142,90.4336,4,0,0
4/1/2020,Bolivia,,-16.2902,-63.5887,115,1,7
4/1/2020,Bosnia and Herz.,,43.9159,17.6791,459,19,13
4/1/2020,Botswana,,-22.3285,24.6849,4,0,1
4/1/2020,Brazil,,-14.235,-51.9253,6836,127,240
4/1/2020,Brunei,,4.5353,114.7277,131,52,1
4/1/2020,Bulgaria,,42.7339,25.4858,422,20,10
4/1/2020,Burkina Faso,,12.2383,-1.5616,282,46,16
4/1/2020,Burma,,21.9162,95.956,15,0,1
4/1/2020,Burundi,,-3.3731,29.9189,2,0,0
4/1/2020,Cabo Verde,,16.5388,-23.0418,6,0,1
4/1/2020,Cambodia,,11.55,104.9167,109,25,0
4/1/2020,Cameroon,,3.848,11.5021,233,10,6
4/1/2020,Canada,Alberta,53.9333,-116.5765,754,,9
4/1/2020,Canada,British Columbia,49.2827,-123.1207,1013,,24
4/1/2020,Canada,Diamond Princess,0,0,0,,1
4/1/2020,Canada,Grand Princess,37.6489,-122.6655,13,,0
4/1/2020,Canada,Manitoba,53.7609,-98.8139,127,,1
4/1/2020,Canada,New Brunswick,46.5653,-66.4619,81,,0
4/1/2020,Canada,Newfoundland and Labrador,53.1355,-57.6604,175,,1
4/1/2020,Canada,Northwest Territories,64.8255,-124.8457,2,,0
4/1/2020,Canada,Nova Scotia,44.682,-63.7443,173,,0
4/1/2020,Canada,Ontario,51.2538,-85.3232,2392,,37
4/1/2020,Canada,Prince Edward Island,46.5107,-63.4168,21,,0
4/1/2020,Canada,Quebec,52.9399,-73.5491,4611,,33
4/1/2020,Canada,Recovery aggregated,56.1304,-106.3468,,1324,
4/1/2020,Canada,Saskatchewan,52.9399,-106.4509,193,,3
4/1/2020,Canada,Yukon,64.2823,-135,5,,0
4/1/2020,Central African Rep.,,6.6111,20.9394,3,0,0
4/1/2020,Chad,,15.4542,18.7322,7,0,0
4/1/2020,Chile,,-35.6751,-71.543,3031,234,16
4/1/2020,China,Anhui,31.8257,117.2264,990,984,6
4/1/2020,China,Beijing,40.1824,116.4142,580,418,8
4/1/2020,China,Chongqing,30.0572,107.874,579,570,6
4/1/2020,China,Fujian,26.0789,117.9874,345,298,1
4/1/2020,China,Gansu,37.8099,101.0583,138,127,2
4/1/2020,China,Guangdong,23.3417,113.4244,1501,1357,8
4/1/2020,China,Guangxi,23.8298,108.7881,254,250,2
4/1/2020,China,Guizhou,26.8154,106.8748,146,144,2
4/1/2020,China,Hainan,19.1959,109.7453,168,168,6
4/1/2020,China,Hebei,39.549,116.1306,323,310,6
4/1/2020,China,Heilongjiang,47.862,127.7615,484,469,13
4/1/2020,China,Henan,33.882,113.614,1276,1251,22
4/1/2020,China,Hong Kong,22.3,114.2,765,147,4
4/1/2020,China,Hubei,30.9756,112.2707,67802,63326,3193
4/1/2020,China,Hunan,27.6104,111.7088,1018,1014,4
4/1/2020,China,Inner Mongolia,44.0935,113.9448,111,74,1
4/1/2020,China,Jiangsu,32.9711,119.455,646,631,0
